ETA,ETD,Object,Operator,Service,Inbound id,Outbound id,Call reference number,Modality
do 06-03-2025 16:00,vr 07-03-2025 14:00,Vayenga Maersk,MAE,MAE SLB,507N,510S,,DEEPSEA
vr 07-03-2025 01:00,vr 07-03-2025 05:30,Katharina Schepers,BGF,BGF FEEDER,250986,250986,,FEEDER
vr 07-03-2025 06:30,vr 07-03-2025 13:00,Eco Umande,XCL,XCL FEEDER,25009N,25009N,NLRTM25004492,FEEDER
vr 07-03-2025 14:00,vr 07-03-2025 22:00,Sven D,UFE,UFE FEEDER,677201,677201,,FEEDER
vr 07-03-2025 17:00,zo 09-03-2025 02:00,CMA CGM Red,CMA,CMA PAD,0RPIMN1MA,0RPILS1MA,NLRTM25000194,DEEPSEA
vr 07-03-2025 20:00,za 08-03-2025 23:00,CMA CGM Benjamin Franklin,CMA,OCEAN ALL NEU4,0FLRBW1MA,0FLRCE1MA,,DEEPSEA
vr 07-03-2025 23:05,za 08-03-2025 08:45,Atlantis A,XCL,XCL FEEDER,25011N,25011N,,FEEDER
za 08-03-2025 09:50,za 08-03-2025 19:50,BG Sapphire,BGF,BGF FEEDER,251063,251063,,FEEDER
za 08-03-2025 12:35,ma 10-03-2025 12:35,ONE Mackinac,ONE,THE ALLIANCE FE4,040W,040E,NLRTM25001219,DEEPSEA
za 08-03-2025 23:15,zo 09-03-2025 05:15,Dornbusch,BGF,BGF FEEDER,251003,251003,,FEEDER
zo 09-03-2025 03:00,ma 10-03-2025 01:00,Wes Gesa,ONE,ONE FEEDER,069N,069S,,FEEDER
zo 09-03-2025 03:00,di 11-03-2025 15:00,CMA CGM Jacques Saade,CMA,OCEAN ALL NEU5,0FMIQW1MA,0FMIRE1MA,NLRTM25002479,DEEPSEA
zo 09-03-2025 06:25,zo 09-03-2025 09:25,Tunadal,UFE,UFE FEEDER,677343,677343,,FEEDER
zo 09-03-2025 10:35,zo 09-03-2025 21:35,BG Orange,BGF,BGF FEEDER,250826,250826,,FEEDER
zo 09-03-2025 22:30,ma 10-03-2025 07:30,Elbsky,UFE,UFE FEEDER,677167,677167,NLRTM25004658,FEEDER
ma 10-03-2025 02:00,ma 10-03-2025 09:30,Coneste,ARL,ARL FEEDER,C2506,C2507,,FEEDER
ma 10-03-2025 08:35,ma 10-03-2025 13:05,BG Diamond,BGF,BGF FEEDER,250961,250961,,FEEDER
ma 10-03-2025 10:20,di 11-03-2025 10:20,Mieke Schulte,CMA,CMA NEFGUI,0RTK7S1MA,0RTK7S1MA,NLRTM25000179,DEEPSEA
ma 10-03-2025 14:20,ma 10-03-2025 18:50,Maike D,UFE,UFE FEEDER,677467,677467,,FEEDER
ma 10-03-2025 17:00,vr 14-03-2025 00:00,Hamburg Express,HLC,THE ALLIANCE FE3,002W,002E,NLRTM25004616,DEEPSEA
ma 10-03-2025 20:05,di 11-03-2025 00:00,BG Jade,BGF,BGF FEEDER,251063,251063,,FEEDER
di 11-03-2025 01:10,di 11-03-2025 07:10,Elisabeth,UFE,UFE FEEDER,677442,677442,,FEEDER
di 11-03-2025 08:25,di 11-03-2025 16:55,BG Green,BGF,BGF FEEDER,251059,251059,,FEEDER
di 11-03-2025 11:35,di 11-03-2025 22:05,EA Noddy,XCL,XCL FEEDER,25010S,25010S,,FEEDER
di 11-03-2025 17:55,di 11-03-2025 22:55,Nordic Hamburg,BGF,BGF FEEDER,251065/1,251065/1,,FEEDER
di 11-03-2025 19:00,wo 12-03-2025 17:00,Santa Teresa,MAE,MAE SAECS,245N,250S,,DEEPSEA
di 11-03-2025 23:00,wo 12-03-2025 13:40,Ava D,COS,COS FEEDER,126,126,,FEEDER
